locus tag	gene name	function	log2FC	logCPM	PValue	q.value
STsORF56	STsORF56		0.223	2.882	0.891	1.000
STsORF57	STsORF57		0.138	4.798	0.644	0.957
STsORF58	STsORF58		-0.588	4.535	0.053	0.338
STsORF60	STsORF60		0.440	4.777	0.133	0.546
STsORF61	STsORF61		0.172	6.561	0.267	0.709
STsORF3	STsORF3		-0.762	4.114	0.039	0.281
STsORF65	STsORF65		-0.436	5.517	0.040	0.284
STsORF5	STsORF5		-0.537	4.554	0.077	0.420
STsORF69	STsORF69		0.675	3.092	0.238	0.689
STsORF73	STsORF73		-0.612	4.943	0.018	0.164
STsORF74	STsORF74		-0.715	2.632	0.318	0.775
STsORF75	STsORF75		-3.242	1.673	0.009	0.093
STsORF76	STsORF76		0.206	4.457	0.589	0.937
STsORF79	STsORF79		0.172	6.564	0.254	0.701
STsORF80	STsORF80		-0.063	6.014	0.747	0.978
STsORF81	STsORF81		0.591	3.929	0.125	0.541
STsORF6	STsORF6		0.787	4.190	0.040	0.284
STsORF85	STsORF85		1.723	2.229	0.034	0.261
STsORF86	STsORF86		0.298	3.866	0.523	0.901
STsORF87	STsORF87		-0.047	6.131	0.836	1.000
STsORF88	STsORF88		-0.262	3.973	0.661	0.962
STsORF89	STsORF89		0.090	4.735	0.778	0.990
STsORF90	STsORF90		0.538	4.151	0.167	0.605
STsORF7	STsORF7		-0.340	4.204	0.405	0.831
STsORF91	STsORF91		-1.380	1.594	0.363	0.803
STsORF92	STsORF92		0.010	3.961	1.000	1.000
STsORF8	STsORF8		-0.888	1.423	0.741	0.976
STsORF97	STsORF97		-0.826	4.155	0.015	0.140
STsORF99	STsORF99		-0.058	6.047	0.727	0.975
STsORF100	STsORF100		-0.804	2.232	0.298	0.752
STsORF101	STsORF101		0.344	3.991	0.350	0.796
STsORF102	STsORF102		-0.083	4.424	0.880	1.000
STsORF103	STsORF103		-0.387	3.657	0.382	0.815
STsORF109	STsORF109		0.141	3.178	0.894	1.000
STsORF110	STsORF110		-0.458	2.423	0.575	0.931
STsORF9	STsORF9		1.572	1.882	0.109	0.508
STsORF111	STsORF111		0.038	7.097	0.811	1.000
STsORF112	STsORF112		-0.237	2.231	0.837	1.000
STsORF113	STsORF113		0.110	4.728	0.781	0.990
STsORF114	STsORF114		-0.633	4.381	0.040	0.284
STsORF115	STsORF115		0.415	3.850	0.415	0.836
STsORF116	STsORF116		0.863	2.945	0.134	0.547
STsORF119	STsORF119		0.160	4.384	0.670	0.963
STsORF120	STsORF120		-0.024	3.037	1.000	1.000
STsORF121	STsORF121		0.422	5.489	0.112	0.518
STsORF122	STsORF122		0.168	5.525	0.415	0.836
STsORF11	STsORF11		0.083	4.564	0.825	1.000
STsORF126	STsORF126		-0.213	4.085	0.600	0.942
STsORF128	STsORF128		0.156	2.915	0.879	1.000
STsORF129	STsORF129		0.128	3.555	0.914	1.000
STsORF130	STsORF130		0.314	3.150	0.741	0.976
STsORF134	STsORF134		0.075	5.978	0.686	0.966
STsORF136	STsORF136		-0.037	3.468	1.000	1.000
STsORF138	STsORF138		4.758	1.330	0.021	0.181
STsORF139	STsORF139		-0.008	3.782	1.000	1.000
STsORF14	STsORF14		0.696	1.230	0.698	0.970
STsORF17	STsORF17		-0.029	3.097	1.000	1.000
STsORF18	STsORF18		-0.162	4.543	0.650	0.960
STsORF1	STsORF1		-1.443	1.332	0.470	0.865
STsORF21	STsORF21		0.762	2.123	0.375	0.810
STsORF23	STsORF23		0.593	3.591	0.174	0.618
STsORF24	STsORF24		0.192	6.492	0.224	0.676
STsORF26	STsORF26		-0.143	5.720	0.462	0.861
STsORF29	STsORF29		-0.128	4.127	0.739	0.976
STsORF30	STsORF30		0.434	1.815	0.785	0.990
STsORF31	STsORF31		0.368	2.780	0.651	0.960
STsORF33	STsORF33		-0.410	4.636	0.196	0.647
STsORF34	STsORF34		0.157	4.812	0.602	0.943
STsORF35	STsORF35		0.127	6.956	0.369	0.803
STsORF36	STsORF36		-0.615	2.380	0.450	0.856
STsORF37	STsORF37		-0.116	3.330	0.901	1.000
STsORF38	STsORF38		0.359	5.033	0.167	0.605
STsORF39	STsORF39		0.352	3.508	0.509	0.892
STsORF40	STsORF40		0.330	4.623	0.278	0.726
STsORF41	STsORF41		0.160	4.005	0.805	0.997
STsORF42	STsORF42		0.356	2.781	0.767	0.986
STsORF44	STsORF44		-0.010	7.613	0.941	1.000
STsORF45	STsORF45		-0.920	2.283	0.224	0.676
STsORF47	STsORF47		0.334	4.861	0.244	0.695
STsORF48	STsORF48		-0.154	4.056	0.729	0.975
STsORF49	STsORF49		-0.212	4.827	0.522	0.900
STsORF51	STsORF51		-0.470	4.449	0.133	0.546
STsORF52	STsORF52		-0.017	3.330	1.000	1.000
STsORF54	STsORF54		1.380	2.592	0.077	0.420
SL1344_0001	thrL	thr operon leader peptide	-0.234	2.511	0.857	1.000
SL1344_0002	thrA	aspartokinase I/homoserine dehydrogenase I	0.105	7.097	0.434	0.847
SL1344_0003	thrB	Homoserine kinase	0.024	5.279	1.000	1.000
SL1344_0004	thrC	threonine synthase	0.127	5.870	0.493	0.882
SL1344_0005	yaaA	conserved hypothetical protein	-0.098	5.216	0.738	0.976
SL1344_0006	yaaJ	hypothetical amino-acid transport protein	-0.082	6.407	0.623	0.951
SL1344_0007	talB	transaldolase B	0.213	4.399	0.525	0.902
SL1344_0008	mog	molybdopterin biosynthesis Mog protein	0.383	3.096	0.509	0.892
SL1344_0009	yaaH	conserved hypothetical protein	-0.219	4.652	0.541	0.905
SL1344_0010	htgA	conserved hypothetical protein	0.115	5.715	0.598	0.942
SL1344_0011	yaaI	conserved hypothetical protein	-0.023	6.228	0.939	1.000
SL1344_0013	dnaJ	DnaJ protein	-0.079	5.470	0.742	0.976
SL1344_0014	SL1344_0014	hypothetical regulatory protein	0.011	8.340	0.934	1.000
SL1344_0015	SL1344_0015	predicted bacteriophage protein	0.052	4.116	1.000	1.000
SL1344_0016	SL1344_0016	conserved hypothetical protein	-0.119	7.816	0.399	0.826
SL1344_0017	SL1344_0017	hypothetical membrane protein	-0.282	5.461	0.235	0.686
SL1344_0018	chiA	chitinase	0.163	7.128	0.224	0.676
SL1344_0019	SL1344_0019	hypothetical chitinase	0.155	8.455	0.202	0.654
SL1344_0020	SL1344_0020	conserved hypothetical protein	-0.001	8.190	1.000	1.000
SL1344_0021	bcfA	fimbrial subunit	-0.007	8.331	0.966	1.000
SL1344_0022	bcfB	fimbrial chaperone	-0.016	8.038	0.930	1.000
SL1344_0023	bcfC	fimbrial usher protein	0.179	7.918	0.171	0.615
SL1344_0024	bcfD	fimbrial subunit	-0.215	5.774	0.258	0.703
SL1344_0025	bcfE	fimbrial subunit	-0.454	4.115	0.210	0.665
SL1344_0026	bcfF	fimbrial subunit	0.269	5.190	0.302	0.755
SL1344_0027	bcfG	fimbrial chaperone	0.353	5.140	0.181	0.630
SL1344_0028	bcfH	hypothetical exported protein	0.086	6.021	0.732	0.975
SL1344_0029	SL1344_0029	hypothetical membrane protein	-0.083	6.417	0.606	0.944
SL1344_0030	SL1344_0030	hypothetical membrane protein	-0.041	5.332	0.867	1.000
SL1344_0031	SL1344_0031	hypothetical transcriptional regulator (lysR family)	0.153	7.064	0.243	0.694
SL1344_0032	SL1344_0032	hypothetical membrane protein	-0.406	3.204	0.515	0.895
SL1344_0033	SL1344_0033	possible sulfatase	0.129	10.297	0.227	0.680
SL1344_0034	SL1344_0034	hypothetical secreted 5'-nucleotidase	-0.040	8.633	0.735	0.976
SL1344_0035	SL1344_0035	hypothetical exported protein	0.112	7.850	0.380	0.814
SL1344_0036	SL1344_0036	hypothetical secreted sulfatase	0.107	7.522	0.531	0.902
SL1344_0037	SL1344_0037	possible sulfatase regulatory protein	0.065	7.422	0.647	0.958
SL1344_0038	SL1344_0038	conserved hypothetical protein	-0.024	8.415	0.844	1.000
SL1344_0039	SL1344_0039	possible sulfatase	-0.004	8.749	0.984	1.000
SL1344_0040	nhaA	Na(+)/H(+) antiporter 1	-0.484	4.529	0.273	0.719
SL1344_0041	nhaR	transcriptional activator protein NhaR	0.038	5.682	0.886	1.000
SL1344_0042	SL1344_0042	hypothetical glycosyl hydrolase	-0.018	7.429	0.912	1.000
SL1344_0043	SL1344_0043	hypothetical transport protein	0.073	8.934	0.549	0.912
SL1344_0045	yaaY	conserved hypothetical protein	0.268	2.067	1.000	1.000
SL1344_0047	ileS	isoleucyl-tRNA synthetase	-0.126	4.206	0.727	0.975
SL1344_0048	lspA	lipoprotein signal peptidase	0.165	3.467	0.812	1.000
SL1344_0049	fkpB	probable FkbB-type 16 kD peptidyl-prolyl cis-trans isomerase	0.437	3.704	0.406	0.832
SL1344_0050	ispH	LytB protein	1.715	1.946	0.083	0.436
