locus tag	gene name	start	end	gene length	amino acid length	strand
STsORF36	STsORF36	1191289	1191324	36	11	1
STsORF135	STsORF135	4794038	4794073	36	11	-1
STsORF119	STsORF119	4110870	4110908	39	12	1
STsORF43	STsORF43	1316887	1316928	42	13	1
STsORF15	STsORF15	636354	636398	45	14	1
STsORF16	STsORF16	687289	687333	45	14	1
STsORF120	STsORF120	4137168	4137212	45	14	1
STsORF131	STsORF131	4601014	4601058	45	14	-1
STsORF84	STsORF84	2808523	2808570	48	15	1
STsORF107	STsORF107	3729759	3729806	48	15	-1
STsORF116	STsORF116	4030526	4030573	48	15	-1
STsORF1	STsORF1	97917	97967	51	16	1
STsORF4	STsORF4	316648	316698	51	16	1
STsORF12	STsORF12	497833	497883	51	16	1
STsORF18	STsORF18	793271	793321	51	16	1
STsORF48	STsORF48	1495655	1495705	51	16	-1
STsORF50	STsORF50	1588880	1588930	51	16	1
STsORF68	STsORF68	2147133	2147183	51	16	1
STsORF85	STsORF85	2881200	2881250	51	16	-1
STsORF95	STsORF95	3114519	3114569	51	16	-1
STsORF114	STsORF114	3986560	3986610	51	16	-1
SL1344_3860A	ilvX	4130465	4130515	51	16	1
STsORF137	STsORF137	4831183	4831233	51	16	1
STsORF14	STsORF14	617893	617946	54	17	-1
STsORF17	STsORF17	765368	765421	54	17	-1
STsORF26	STsORF26	943721	943774	54	17	-1
STsORF53	STsORF53	1685443	1685496	54	17	1
STsORF72	STsORF72	2357681	2357734	54	17	1
STsORF83	STsORF83	2788934	2788987	54	17	-1
STsORF96	STsORF96	3237564	3237617	54	17	-1
STsORF125	STsORF125	4238752	4238805	54	17	1
STsORF126	STsORF126	4318309	4318362	54	17	-1
SL1344_4288A	yjeV	4617774	4617827	54	17	1
STsORF133	STsORF133	4720077	4720130	54	17	1
STsORF138	STsORF138	4837121	4837174	54	17	1
STsORF37	STsORF37	1282571	1282627	57	18	-1
STsORF67	STsORF67	2141824	2141880	57	18	1
STsORF71	STsORF71	2311015	2311071	57	18	1
STsORF91	STsORF91	2978233	2978289	57	18	-1
STsORF110	STsORF110	3864522	3864578	57	18	-1
SL1344_0099A	SL1344_0099A	116195	116254	60	19	-1
SL1344_2444A	ypfM	2594578	2594637	60	19	-1
STsORF94	STsORF94	3068657	3068716	60	19	1
SL1344_3172A	ibsC	3383044	3383103	60	19	1
STsORF105	STsORF105	3633967	3634026	60	19	-1
STsORF46	STsORF46	1372412	1372474	63	20	1
SL1344_2045A	yoeI	2144890	2144952	63	20	-1
STsORF88	STsORF88	2953686	2953748	63	20	1
STsORF93	STsORF93	3028806	3028868	63	20	-1
STsORF106	STsORF106	3671569	3671631	63	20	1
SL1344_0085	SL1344_0085	98056	98121	66	21	-1
STsORF70	STsORF70	2309102	2309167	66	21	-1
STsORF74	STsORF74	2503581	2503646	66	21	-1
SL1344_2548	SL1344_2548	2730253	2730318	66	21	-1
STsORF108	STsORF108	3755123	3755188	66	21	-1
STsORF32	STsORF32	1154521	1154589	69	22	1
STsORF103	STsORF103	3438960	3439028	69	22	-1
STsORF29	STsORF29	1099742	1099813	72	23	1
STsORF63	STsORF63	2039923	2039994	72	23	-1
STsORF64	STsORF64	2053151	2053222	72	23	-1
STsORF76	STsORF76	2513566	2513637	72	23	-1
SL1344_2369A	ypdK	2513600	2513671	72	23	1
STsORF8	STsORF8	350333	350407	75	24	1
STsORF9	STsORF9	390446	390520	75	24	1
STsORF22	STsORF22	822768	822842	75	24	-1
STsORF39	STsORF39	1288992	1289066	75	24	1
STsORF55	STsORF55	1716102	1716176	75	24	1
STsORF127	STsORF127	4407945	4408019	75	24	1
STsORF11	STsORF11	491258	491335	78	25	1
STsORF27	STsORF27	978711	978788	78	25	1
STsORF41	STsORF41	1294617	1294694	78	25	1
STsORF65	STsORF65	2064257	2064334	78	25	-1
STsORF78	STsORF78	2692789	2692866	78	25	-1
STsORF109	STsORF109	3781737	3781814	78	25	-1
STsORF122	STsORF122	4148482	4148559	78	25	1
STsORF124	STsORF124	4230416	4230493	78	25	1
SL1344_P1_0100	tap	91915	91992	78	25	-1
STsORF6	STsORF6	347487	347567	81	26	1
STsORF10	STsORF10	489239	489319	81	26	1
SL1344_3253A	yrbN	3468772	3468852	81	26	-1
STsORF118	STsORF118	4070944	4071024	81	26	-1
SL1344_0463	rpmJa	526163	526246	84	27	1
SL1344_1414A	ydgU	1518743	1518826	84	27	-1
STsORF52	STsORF52	1680406	1680489	84	27	1
STsORF69	STsORF69	2268299	2268382	84	27	1
STsORF123	STsORF123	4196238	4196321	84	27	1
SL1344_0001	thrL	169	255	87	28	1
SL1344_0114	leuL	133829	133915	87	28	-1
STsORF112	STsORF112	3982643	3982729	87	28	-1
SL1344_0688A	kdpF	773446	773535	90	29	-1
SL1344_1362A	ynhF	1466093	1466182	90	29	1
SL1344_1722	SL1344_1722	1849951	1850040	90	29	1
STsORF90	STsORF90	2970218	2970307	90	29	-1
STsORF97	STsORF97	3342897	3342986	90	29	1
STsORF128	STsORF128	4553834	4553923	90	29	1
SL1344_P2_0001	repY	378	467	90	29	1
SL1344_0083A	SL1344_0083A	95134	95226	93	30	-1
STsORF28	STsORF28	993024	993116	93	30	1
STsORF38	STsORF38	1288669	1288761	93	30	1
STsORF60	STsORF60	1893550	1893642	93	30	-1
SL1344_3727A	mgtR	3982742	3982834	93	30	-1
STsORF7	STsORF7	350224	350319	96	31	1
STsORF49	STsORF49	1550924	1551019	96	31	-1
STsORF51	STsORF51	1643487	1643582	96	31	1
STsORF75	STsORF75	2504749	2504844	96	31	1
STsORF77	STsORF77	2631696	2631791	96	31	-1
STsORF115	STsORF115	4026854	4026949	96	31	-1
STsORF2	STsORF2	174883	174981	99	32	-1
STsORF13	STsORF13	539479	539577	99	32	1
STsORF57	STsORF57	1803657	1803755	99	32	-1
STsORF59	STsORF59	1866965	1867063	99	32	-1
SL1344_3763	ivbL	4019024	4019122	99	32	-1
STsORF129	STsORF129	4584000	4584098	99	32	-1
STsORF134	STsORF134	4789615	4789713	99	32	-1
SL1344_0354	SL1344_0354	408034	408135	102	33	1
STsORF20	STsORF20	808793	808894	102	33	1
SL1344_4126	SL1344_4126	4436046	4436147	102	33	1
SL1344_4392	pyrL	4725524	4725625	102	33	-1
STsORF31	STsORF31	1134044	1134148	105	34	-1
SL1344_2934	SL1344_2934	3123527	3123631	105	34	1
STsORF130	STsORF130	4597979	4598083	105	34	1
STsORF3	STsORF3	294939	295046	108	35	1
STsORF42	STsORF42	1314466	1314573	108	35	1
SL1344_2042	SL1344_2042	2138911	2139018	108	35	-1
SL1344_2139	yohO	2254875	2254982	108	35	1
SL1344_2883	SL1344_2883	3069460	3069567	108	35	1
SL1344_1032	SL1344_1032	1136741	1136851	111	36	-1
SL1344_3871	SL1344_3871	4141098	4141208	111	36	1
SL1344_3951A	yshB	4234072	4234182	111	36	-1
SL1344_0724	ybgT	811678	811791	114	37	1
SL1344_1096	yceO	1202408	1202521	114	37	-1
STsORF113	STsORF113	3985681	3985794	114	37	1
STsORF30	STsORF30	1132639	1132755	117	38	1
SL1344_2116	SL1344_2116	2231529	2231645	117	38	-1
SL1344_3386	rpmJb	3607361	3607477	117	38	-1
SL1344_4191	SL1344_4191	4497295	4497411	117	38	1
SL1344_2669	gpE	2860282	2860401	120	39	-1
SL1344_3673A	SL1344_3673A	3923988	3924107	120	39	-1
SL1344_4408	SL1344_4408	4742586	4742705	120	39	-1
SL1344_0109A	sgrT	128602	128724	123	40	1
SL1344_1798	SL1344_1798	1920177	1920299	123	40	1
SL1344_2186	STM2209	2307352	2307474	123	40	-1
SL1344_P1_0101	repA3	91997	92119	123	40	-1
sORF2	sORF2	93296	93418	123	40	-1
SL1344_P2_0023	impC	16979	17101	123	40	-1
STsORF5	STsORF5	329678	329803	126	41	1
STsORF19	STsORF19	808345	808470	126	41	1
SL1344_0963	SL1344_0963	1069431	1069556	126	41	1
STsORF40	STsORF40	1291620	1291745	126	41	1
SL1344_1393A	blr	1492900	1493025	126	41	-1
STsORF81	STsORF81	2760313	2760438	126	41	-1
SL1344_1874A	SL1344_1874A	1992726	1992853	128	41,66666667	-1
STsORF23	STsORF23	901218	901346	129	42	-1
SL1344_1644A	ymiA	1764839	1764967	129	42	-1
SL1344_0696	SL1344_0696	780848	780979	132	43	1
SL1344_3063	yqgB	3271614	3271745	132	43	-1
SL1344_3209	yhaL	3422476	3422607	132	43	1
SL1344_4019	cdhb	4301459	4301590	132	43	1
